項目名,項目ID,属性,属性チェック,桁数,空白を削除する,暦書式,暦エラータイプ,レコード出力タイプ,最終出力タイプ,最終出力値,全角,大文字,項目出力
WK_EOS_PATTERN_NO,154 EOSパターン№,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_PATTERN_NAME,155 EOSパターン名称,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_GONDOLA_NO,156 EOSゴンドラ番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_FORM_TYPE,157 EOS形状区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_PO_USER_CODE,158 EOS発注者コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_DIRECT_DELI_CODE,159 EOS直接納品先コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_DIRECT_DELI_NAME,160 EOS直接納品先名称,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_DIRECT_DELI_KANA_NAME,161 EOS直接納品先カナ,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_DISPLAY_PLACE_CODE,162 EOS陳列場所コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_DISPLAY_PLACE_NAME,163 EOS陳列場所名称,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_BILL_CUST_CODE,164 EOS請求取引先コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_BILL_CUST_NAME,165 EOS請求取引先名,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_BILL_CUST_KANA_NAME,166 EOS請求取引先カナ,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_CENTER_DELI_SLIP_NO,167 EOSセンター納品書番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_TRANSPORT_MTHD,168 EOS輸送手段,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_PO_TYPE,169 EOS発注区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_PO_TYPE_NAME,170 EOS発注区分名,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_TTL_BOX_QT,171 EOS総個口数,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_PO_DEPT_NAME,172 EOS発注部門名,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_DELI_DATE_WEEK,173 EOS納品日曜日,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_LIMIT_DATE,174 EOS限度日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_PO_DATE,175 EOS発注日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_TEST_TYPE,176 EOSテスト区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_PROD_CODE2,177 EOS商品コード2,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_PROD_KANA_NAME2,178 EOS商品名カナ2,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_PROD_FORM_TYPE,179 EOS商品形態区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_STOCK_PROD_TYPE,180 EOSセンター備蓄商品区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_CASE,181 EOSケース,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_ITAX_COST_PRICE,182 EOS原単価（税込）,9: 0～9までの数字,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_ETAX_COST_PRICE,183 EOS原単価（税抜）,9: 0～9までの数字,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_ITAX_SELL_PRICE,184 EOS売単価（税込）,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_ETAX_SELL_PRICE,185 EOS売単価（税抜）,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,0,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM1,186 EOS予備項目01,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM2,187 EOS予備項目02,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_RESERVE_ITEM3,188 EOS予備項目03,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
